City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,luwuk,-0.9516,122.7875,86.79,53,55,6.53,ID,1698195512
334,yanykurgan,43.915,67.2481,51.04,56,13,9.44,KZ,1698195513
335,fisterra,42.9049,-9.2629,63.75,84,86,16.11,ES,1698195513
336,mount pearl,47.5166,-52.7813,39.33,91,20,11.5,CA,1698195252
337,am timan,11.0297,20.2827,76.62,41,100,4.54,TD,1698195514
338,dudinka,69.4058,86.1778,20.62,97,100,4.0,RU,1698195379
339,willmar,45.1219,-95.0433,53.55,100,100,4.61,US,1698195514
340,namest nad oslavou,49.2073,16.1585,55.33,93,100,16.11,CZ,1698195515
341,moyynkum,44.2914,72.9469,48.9,69,66,5.66,KZ,1698195515
342,newman,37.3138,-121.0208,79.14,56,12,1.99,US,1698195366
343,opuwo,-18.0607,13.84,70.41,31,10,3.51,NA,1698195354
344,brookings,44.3114,-96.7984,49.17,92,100,8.05,US,1698195364
345,glendive,47.1053,-104.7125,37.02,80,100,11.5,US,1698195357
346,nagqu,31.5,92.0,25.65,81,100,3.02,CN,1698195517
347,namibe,-15.1961,12.1522,65.5,83,46,11.27,AO,1698195351
348,mermoz boabab,14.7065,-17.4758,82.18,83,0,6.91,SN,1698195517
349,vilyuchinsk,52.9306,158.4028,41.27,61,77,2.53,RU,1698195517
350,baoro,5.6667,15.9667,68.34,95,100,1.81,CF,1698195519
351,sambava,-14.2667,50.1667,71.89,94,14,4.21,MG,1698195520
352,sabang,5.8933,95.3214,80.31,77,100,1.48,ID,1698195520
353,san patricio,28.017,-97.5169,81.84,78,2,16.8,US,1698195520
354,yuzhne,46.6221,31.1013,60.08,74,95,13.44,UA,1698195521
355,codrington,-38.2667,141.9667,50.83,68,51,17.54,AU,1698195521
356,kiruna,67.8557,20.2251,16.72,93,100,0.0,SE,1698195522
357,portoferraio,42.8115,10.3146,70.97,70,2,2.68,IT,1698195522
358,santa rosa de rio primero,-31.1523,-63.4019,65.55,76,44,7.99,AR,1698195523
359,sungailiat,-1.85,106.1333,83.8,70,96,8.12,ID,1698195297
360,mossel bay,-34.1831,22.146,57.13,78,52,4.45,ZA,1698195524
361,wladyslawowo,54.7909,18.4009,49.93,78,100,18.77,PL,1698195524
362,zaozersk,69.4005,32.4476,26.15,96,94,4.34,RU,1698195524
363,hauterive,46.0901,3.4459,54.99,73,93,11.01,FR,1698195525
364,berdigestyakh,62.0989,126.6992,23.27,89,100,6.62,RU,1698195376
